City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind
taywarah,0,AF,1580174159,84,33.35,64.42,0.61,7.45
nenjiang,8,CN,1580174160,92,49.18,125.22,-5.78,6.29
wenling,1,CN,1580174161,76,28.37,121.36,41.83,7.9
arraial do cabo,26,BR,1580173914,85,-22.97,-42.03,77.11,19.17
severodvinsk,40,RU,1580174163,84,64.56,39.83,3.2,4.47
meadow lake,75,US,1580174164,56,34.8,-106.54,44.01,11.41
dalvik,30,IS,1580174165,85,65.97,-18.53,17.6,12.75
awbari,9,LY,1580174167,16,26.59,12.78,61.16,6.31
atambua,90,ID,1580174168,75,-9.11,124.89,81.57,3.85
wilmington,90,US,1580174065,81,34.23,-77.94,54,8.05
tucuman,90,AR,1580174170,88,-26.82,-65.22,73.4,4.7
buchanan,20,LR,1580174172,94,5.88,-10.05,77,1.99
garowe,83,SO,1580174173,64,8.41,48.48,70.48,12.91
atkinson,90,US,1580173928,64,42.84,-71.15,41,9.17
gambela,10,ET,1580174175,26,8.25,34.58,74.5,2.73
gamba,80,GA,1580174066,86,-2.65,10,77.65,2.19
ayagoz,100,KZ,1580174177,91,47.97,80.44,22.91,19.95
san cristobal,40,VE,1580174132,69,7.77,-72.22,80.6,4.7
oranjemund,1,NA,1580174180,80,-28.55,16.43,61.2,6.73
morant bay,40,JM,1580174098,69,17.88,-76.41,78.8,4.7
mackay,75,AU,1580174182,88,-21.15,149.2,84.99,6.93
kaspiysk,0,RU,1580174183,86,42.88,47.64,30.2,6.71
waipawa,13,NZ,1580174184,69,-41.41,175.52,75.2,18.34
tabou,1,CI,1580174185,88,4.42,-7.35,78.26,3.96
taunggyi,0,MM,1580174186,54,20.78,97.03,45,2.98
atherton,100,GB,1580174118,93,53.52,-2.49,39.99,8.05
ranong,20,TH,1580174189,94,9.97,98.63,68,1.12
sinkat,,,,,,,,
kamenka,100,RU,1580173946,95,51.32,42.77,33.01,1.01
dalbandin,0,PK,1580174192,58,28.89,64.41,42.73,2.93
shingu,75,JP,1580174193,59,33.73,135.98,62.6,14.99
isla vista,40,US,1580173900,72,34.41,-119.86,66.99,3.36
ambon,20,ID,1580174195,63,-3.7,128.18,91.4,8.05
bourg-en-bresse,75,FR,1580174197,71,46.17,5.17,50,19.46
viedma,18,AR,1580174073,18,-40.81,-63,76.05,12.12
okhotsk,4,RU,1580173947,69,59.38,143.3,-14.66,8.99
macduff,75,GB,1580174200,85,57.67,-2.5,34,4.7
seoul,90,KR,1580174100,52,37.57,126.98,44.6,4.7
ivnya,75,RU,1580174202,86,51.06,36.13,30.99,4.47
kashin,100,RU,1580174203,79,57.36,37.61,16.59,11.92
maceio,20,BR,1580174204,88,-9.67,-35.74,77,5.82
los algarrobos,17,PA,1580174206,100,8.5,-82.43,64,1.52
nioro,37,GM,1580174207,8,13.35,-15.75,79.07,6.46
wapi pathum,98,TH,1580174208,82,15.85,103.38,64.4,5.82
bom jesus da lapa,100,BR,1580174209,78,-13.26,-43.42,78.8,5.82
payakumbuh,98,ID,1580174210,98,-0.22,100.63,68.58,0.81
yaan,0,NG,1580174204,14,7.38,8.57,76.33,3.89
el faiyum,,,,,,,,
lazurne,100,UA,1580173806,99,46.08,32.53,39,8.9
stony plain,40,CA,1580174125,92,53.53,-114,23,4.85
kantemirovka,100,RU,1580174214,95,49.71,39.86,30.11,5.28
kholtoson,95,RU,1580174216,85,50.3,103.31,2.08,0.74
salina,90,US,1580174191,74,38.84,-97.61,37,10.29
sinnamary,100,GF,1580174218,81,5.38,-52.95,80.1,13.91
vidim,4,RU,1580174219,85,56.41,103.11,5.29,3.22
birao,16,CF,1580174028,18,10.28,22.79,61.65,8.86
panaba,28,MX,1580174221,87,21.28,-88.27,73.45,5.59
keetmanshoop,0,NA,1580174222,12,-26.58,18.13,73.4,8.05
yangambi,97,CD,1580174223,39,0.81,24.43,76.57,2.73
yavaros,0,MX,1580174224,69,26.7,-109.52,69.01,1.99
pleshanovo,26,RU,1580174226,95,52.83,53.48,0.75,8.3
akureyri,24,IS,1580174227,85,65.68,-18.09,17.6,12.75
pangody,100,RU,1580174228,96,65.85,74.49,-4.11,14.27
quatre cocos,40,MU,1580174229,88,-20.21,57.76,72,5.82
peleduy,60,RU,1580174230,98,59.63,112.74,-0.83,3.78
la ronge,90,CA,1580174231,85,55.1,-105.28,14,2.24
kahului,20,US,1580173989,42,20.89,-156.47,86,14.99
taganak,40,PH,1580174233,94,6.08,118.3,80.6,2.24
husavik,68,IS,1580174235,85,66.04,-17.34,17.6,12.75
turinsk,99,RU,1580174236,95,58.05,63.7,-2.61,8.86
bujumbura,100,BI,1580174237,98,-3.38,29.36,57.81,1.39
natitingou,5,BJ,1580174238,15,10.3,1.38,75.2,9.17
ulaangom,18,MN,1580174240,83,49.98,92.07,-6.97,1.81
funadhoo,47,MV,1580174241,64,6.15,73.27,80.82,3.94
chara,0,RU,1580174242,68,56.91,118.26,-7.6,0.98
maracaibo,12,VE,1580174201,66,10.63,-71.64,82.85,13.53
aykhal,7,RU,1580174244,69,66,111.5,-13,4.47
lolua,,,,,,,,
dubrovnik,3,HR,1580174246,87,42.65,18.09,42.8,5.82
marzuq,0,YE,1580174247,34,14.4,46.47,50.34,3.27
kirakira,100,SB,1580174248,74,-10.45,161.92,84.27,9.08
kutum,77,SD,1580174028,24,14.2,24.67,47.32,3.76
qaqortoq,19,GL,1580174250,61,60.72,-46.03,12.2,8.05
el tigre,32,VE,1580174251,55,8.89,-64.25,82.54,10.54
kruisfontein,100,ZA,1580174252,80,-34,24.73,56.73,3.71
talas,75,TR,1580174254,62,38.69,35.55,32,2.24
bhattiprolu,20,IN,1580174255,94,16.1,80.78,71.6,5.73
porto seguro,20,BR,1580174256,88,-16.45,-39.06,78.8,6.93
tahe,0,CN,1580174257,95,52.33,124.73,-4.61,2.68
byron bay,75,AU,1580174258,69,-28.65,153.62,89.01,8.05
tasbuget,,,,,,,,
inhambane,100,MZ,1580174260,75,-23.86,35.38,78.3,21.63
emerald,75,AU,1580174261,69,-23.53,148.17,82.4,11.41
visby,100,SE,1580174262,93,57.64,18.3,42.01,9.17
ancud,20,CL,1580174198,93,-41.87,-73.82,60.8,11.41
fort nelson,75,CA,1580174264,84,58.81,-122.7,8.6,3.36
hong gai,20,VN,1580174265,76,20.96,107.09,57.2,6.93
dong hoi,100,VN,1580174266,96,17.48,106.6,59.99,5.26
safranbolu,98,TR,1580174267,76,41.25,32.69,32.59,5.99
lebedinyy,100,RU,1580174269,95,58.52,125.52,-2.45,8.01
ialibu,83,PG,1580174270,85,-6.28,143.99,70.95,1.92
muyezerskiy,100,RU,1580174271,87,63.93,31.65,12.83,7.83
plover,90,US,1580174272,89,44.46,-89.54,32,4.7
sao filipe,0,CV,1580174273,55,14.9,-24.5,74.37,15.14
maragogi,100,BR,1580173992,80,-9.01,-35.22,81.43,13.4
swan river,56,CA,1580174275,84,52.11,-101.27,8.6,4.63
fiumicino,40,IT,1580174276,81,41.77,12.23,55,8.05
cotacachi,90,EC,1580174277,76,0.3,-78.27,57.2,4.7
beboto,36,TD,1580174278,18,8.27,16.94,68.74,4.18
bandarbeyla,74,SO,1580174280,71,9.49,50.81,76.48,26.15
havelock,90,US,1580174281,76,34.88,-76.9,53.6,5.82
fairbanks,90,US,1580174089,67,64.84,-147.72,-22,2.59
adrar,35,MR,1580174283,23,20.5,-10.07,71.06,10.56
harindanga,0,IN,1580174284,93,22.04,88.32,55.4,3.09
camargo,0,MX,1580174053,19,27.67,-105.17,71.26,17.81
agadir,76,MA,1580174286,93,30.42,-9.6,50,6.93
sept-iles,90,CA,1580174287,66,50.2,-66.38,17.01,14.99
lazaro cardenas,0,MX,1580174281,68,17.96,-102.2,78.57,4.09
ancona,85,IT,1580174290,93,43.55,13.17,54,2.24
nuevo progreso,0,MX,1580174291,91,23.17,-97.95,70,1.01
sur,0,OM,1580174292,58,22.57,59.53,63.54,9.46
saint-augustin,100,CA,1580174293,92,51.23,-58.65,20.53,26.11
walvis bay,0,NA,1580174294,82,-22.96,14.51,62.01,2.24
teya,100,RU,1580174060,93,60.38,92.63,15.46,6.51
brandon,90,US,1580174296,93,27.94,-82.29,66,3.51
shizunai,65,JP,1580174027,66,42.33,142.37,24.87,1.01
kathmandu,20,NP,1580174217,93,27.72,85.32,39.2,3.36
halalo,,,,,,,,
longyan,11,CN,1580174300,85,25.11,117.02,39,3.09
nanjing,86,CN,1580174222,86,32.06,118.78,41,2.24
botwood,90,CA,1580174302,100,49.15,-55.35,28.99,19.46
yerofey pavlovich,50,RU,1580174303,92,53.97,121.97,-6.56,2.21
casablanca,2,MA,1580174304,93,33.59,-7.62,59,3.36
khash,0,IR,1580174305,65,28.22,61.22,35.82,9.06
ketchikan,90,US,1580174265,70,55.34,-131.65,42.8,3.36
provideniya,75,RU,1580173895,77,64.38,-173.3,1.4,11.18
vilyuysk,48,RU,1580174308,95,63.76,121.62,-35.01,0.89
uetze,75,DE,1580174309,87,52.47,10.2,45,6.93
nanortalik,0,GL,1580173979,66,60.14,-45.24,20.91,27.07
luganville,40,VU,1580174312,70,-15.53,167.17,86,10.29
imst,75,AT,1580174313,74,47.27,10.67,39.2,6.93
tarata,75,BO,1580174314,48,-17.62,-66.02,66.2,8.05
port lincoln,3,AU,1580174279,65,-34.73,135.87,69.39,6.98
goderich,97,CA,1580173994,83,43.75,-81.72,35.01,1.01
sao joao da barra,100,BR,1580174298,90,-21.64,-41.05,77.49,10.69
conceicao do araguaia,100,BR,1580174318,98,-8.26,-49.26,71.8,2.53
marcona,,,,,,,,
dutse,17,NG,1580174319,14,11.76,9.34,62.92,8.68
soe,82,ID,1580174321,74,-9.86,124.28,80.22,5.55
barroualie,,,,,,,,
bonavista,96,CA,1580174311,88,48.65,-53.11,36,14
hovd,0,MN,1580174093,58,48.01,91.64,5.77,2.44
balimo,,,,,,,,
peniche,75,PT,1580174287,100,39.36,-9.38,57.99,9.17
yumen,49,CN,1580174009,63,40.28,97.2,14.04,3.58
ucluelet,90,CA,1580174015,93,48.93,-125.55,44.01,18.34
hurghada,15,EG,1580173910,53,27.26,33.81,51.8,5.82
buraydah,0,SA,1580174157,69,26.33,43.98,37.4,2.91
leh,96,IN,1580173963,65,34.17,77.58,-9.8,3.87
powell,90,US,1580174331,81,40.16,-83.08,34,5.82
thoen,4,TH,1580174332,67,17.61,99.22,52.65,3.06
nemuro,0,JP,1580174333,62,43.32,145.57,19.4,2.24
san policarpo,39,PH,1580174334,90,12.18,125.51,76.5,4.79
kochi,40,IN,1580174076,94,9.94,76.26,75.2,2.48
aripuana,67,BR,1580174336,92,-9.17,-60.63,76.15,1.03
siniscola,20,IT,1580174337,76,40.57,9.69,55.4,12.75
lafiagi,17,NG,1580174338,14,8.87,5.42,74.03,2.64
samana,7,DO,1580174339,97,19.21,-69.34,69.17,3.15
moose factory,90,CA,1580174341,92,51.26,-80.61,10.4,9.17
